,alexa_rank,default_port,domain_age_days,domain_tokens,file_extension,fragment,host,host_len,ips,malicious_url,mxhosts,num_domain_tokens,num_path_tokens,path,path_len,path_tokens,port,query,registered_domain,scheme,tld,url,url_len,alexa_result,age_result,host_len_res,file_ext_result,tld_result,ip_result,geo_result,domain_result,total
0,0,80,72,"['www', 'oblogdacarla', 'com']",,,www.oblogdacarla.com,20,"[{'geo': 'GB', 'ip': '31.22.4.145', 'type': 'A'}]",1,"[{'mxhost': 'oblogdacarla.com', 'ips': [{'geo': 'GB', 'ip': '31.22.4.145', 'type': 'A'}]}]",3,4,/~wscrxcom/paypal.com/0d08de967d7f1585b7d625150baa9a35/,55,"['~wscrxcom', 'paypal.com', '0d08de967d7f1585b7d625150baa9a35', '']",80,,oblogdacarla.com,http,com,http://www.oblogdacarla.com/~wscrxcom/paypal.com/0d08de967d7f1585b7d625150baa9a35/,82,0,1,0,0,0,0,0,0,1
1,11328,80,1018,"['www', 'sanders', 'senate', 'gov']",,,www.sanders.senate.gov,22,"[{'geo': 'US', 'ip': '23.198.107.166', 'type': 'A'}]",0,"[{'mxhost': 'a-ess-mx2.senate.gov', 'ips': [{'geo': 'US', 'ip': '156.33.195.156', 'type': 'A'}]}, {'mxhost': 'p-ess-mx1.senate.gov', 'ips': [{'geo': 'US', 'ip': '156.33.195.159', 'type': 'A'}]}, {'mxhost': 'p-ess-mx2.senate.gov', 'ips': [{'geo': 'US', 'ip': '156.33.195.160', 'type': 'A'}]}, {'mxhost': 'a-ess-mx1.senate.gov', 'ips': [{'geo': 'US', 'ip': '156.33.195.155', 'type': 'A'}]}]",4,3,/newsroom/press-releases/sanders-statement-on-net-neutrality-,61,"['newsroom', 'press-releases', 'sanders-statement-on-net-neutrality-']",80,,senate.gov,http,gov,http://www.sanders.senate.gov/newsroom/press-releases/sanders-statement-on-net-neutrality-,90,0,0,0,0,0,0,0,0,0
2,0,80,65,"['instruminahui', 'edu', 'ec']",html,,instruminahui.edu.ec,20,"[{'geo': 'US', 'ip': '74.207.242.230', 'type': 'A'}]",1,"[{'mxhost': 'mail.instruminahui.edu.ec', 'ips': [{'geo': 'US', 'ip': '74.207.242.230', 'type': 'A'}]}]",3,2,/201403/editor.html,19,"['201403', 'editor.html']",80,,instruminahui.edu.ec,http,ec,http://instruminahui.edu.ec/201403/editor.html,46,0,1,0,0,0,0,0,0,1
3,0,80,50,"['sirdarryl', 'com']",,,sirdarryl.com,13,"[{'geo': 'US', 'ip': '205.251.140.114', 'type': 'A'}]",1,"[{'mxhost': 'sirdarryl.com', 'ips': [{'geo': 'US', 'ip': '205.251.140.114', 'type': 'A'}]}]",2,4,/wp-admin/network/gogdocsrt/,28,"['wp-admin', 'network', 'gogdocsrt', '']",80,,sirdarryl.com,http,com,http://sirdarryl.com/wp-admin/network/gogdocsrt/,48,0,1,0,0,0,0,0,0,1
4,19,80,816,"['id', 'yahoo', 'co', 'jp']",,,id.yahoo.co.jp,14,"[{'geo': 'JP', 'ip': '183.79.195.201', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.187.127', 'type': 'A'}]",0,"[{'mxhost': 'mx3.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '183.79.29.240', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.57.237', 'type': 'A'}]}, {'mxhost': 'mx5.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '183.79.29.238', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.57.236', 'type': 'A'}]}, {'mxhost': 'mx1.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '183.79.29.234', 'type': 'A'}, {'geo': 'JP', 'ip': '114.111.99.224', 'type': 'A'}]}, {'mxhost': 'mx2.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '114.111.99.248', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.57.238', 'type': 'A'}]}]",4,2,/security/,10,"['security', '']",80,,yahoo.co.jp,http,jp,http://id.yahoo.co.jp/security/,31,0,0,0,0,0,0,0,0,0
5,30853,80,44,"['nlznrsil', 'co', 'cc']",php,,nlznrsil.co.cc,14,"[{'geo': 'US', 'ip': '199.2.137.140', 'type': 'A'}]",1,NA,3,1,/showthread.php,15,['showthread.php'],80,t=20140028,co.cc,http,cc,http://nlznrsil.co.cc/showthread.php?t=20140028,47,0,1,0,0,0,0,0,0,1
6,26,443,449,"['id', 'pinterest', 'com']",,,id.pinterest.com,16,"[{'geo': 'US', 'ip': '174.129.10.138', 'type': 'A'}]",0,"[{'mxhost': 'aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.25.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c03:0:0:0:1b', 'type': 'AAAA'}]}, {'mxhost': 'alt1.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'alt2.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx2.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx3.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}]",3,1,/,1,[''],443,,pinterest.com,https,com,https://id.pinterest.com/,25,0,0,0,0,0,0,0,0,0
7,0,80,64,"['aseandental', 'com', 'vn']",,,aseandental.com.vn,18,"[{'geo': 'VN', 'ip': '112.78.15.221', 'type': 'A'}]",1,NA,3,6,/en/upload/faqs/vodafone.co.uk/intel/,37,"['en', 'upload', 'faqs', 'vodafone.co.uk', 'intel', '']",80,,aseandental.com.vn,http,vn,http://aseandental.com.vn/en/upload/faqs/vodafone.co.uk/intel/,62,0,1,0,0,1,0,0,0,2
8,19,80,785,"['domestic', 'hotel', 'travel', 'yahoo', 'co', 'jp']",html,,domestic.hotel.travel.yahoo.co.jp,33,"[{'geo': 'JP', 'ip': '114.111.119.212', 'type': 'A'}]",0,"[{'mxhost': 'mx5.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '183.79.29.238', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.57.236', 'type': 'A'}]}, {'mxhost': 'mx1.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '114.111.99.224', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.29.234', 'type': 'A'}]}, {'mxhost': 'mx2.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '114.111.99.248', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.57.238', 'type': 'A'}]}, {'mxhost': 'mx3.mail.yahoo.co.jp', 'ips': [{'geo': 'JP', 'ip': '183.79.57.237', 'type': 'A'}, {'geo': 'JP', 'ip': '183.79.29.240', 'type': 'A'}]}]",6,3,/season/rotentsuki/index6.html,30,"['season', 'rotentsuki', 'index6.html']",80,,yahoo.co.jp,http,jp,http://domestic.hotel.travel.yahoo.co.jp/season/rotentsuki/index6.html,70,0,0,0,0,0,0,0,0,0
9,1971,80,4069,"['cd', 'focus', 'cn']",html,,cd.focus.cn,11,"[{'geo': 'CN', 'ip': '122.228.115.111', 'type': 'A'}, {'geo': 'CN', 'ip': '61.146.152.57', 'type': 'A'}]",0,"[{'mxhost': 'focusmail.focus.cn', 'ips': [{'geo': 'CN', 'ip': '220.181.90.240', 'type': 'A'}]}]",3,3,/news/2014-04-24/4970695.html,29,"['news', '2014-04-24', '4970695.html']",80,,focus.cn,http,cn,http://cd.focus.cn/news/2014-04-24/4970695.html,47,0,0,0,0,0,0,0,0,0
